Thu Jun  7 03:57:54 UTC 2018,,,,,
Setting up test: runsperthread=100 threads=1 totalruns=100,,,,,
run_id,thread_id,json,output,elapsed_time,sleep_time_ms
1,1,,,2010,-1.01
2,1,,,1985,-0.985
3,1,,,2011,-1.011
4,1,,,1450,-0.45
5,1,,,2075,-1.075
6,1,,,2007,-1.007
7,1,,,1965,-0.965
8,1,,,2067,-1.067
9,1,,,1853,-0.853
10,1,,,1588,-0.588
11,1,,,1593,-0.593
12,1,,,1768,-0.768
13,1,,,1425,-0.425
14,1,,,1816,-0.816
15,1,,,1938,-0.938
16,1,,,2034,-1.034
17,1,,,1996,-0.996
18,1,,,2042,-1.042
19,1,,,2516,-1.516
20,1,,,2071,-1.071
21,1,,,2044,-1.044
22,1,,,2087,-1.087
23,1,,,1971,-0.971
24,1,,,1716,-0.716
25,1,,,1819,-0.819
26,1,,,1707,-0.707
27,1,,,2098,-1.098
28,1,,,2362,-1.362
29,1,,,1774,-0.774
30,1,,,2359,-1.359
31,1,,,2047,-1.047
32,1,,,1561,-0.561
33,1,,,1671,-0.671
34,1,,,1873,-0.873
35,1,,,1879,-0.879
36,1,,,2057,-1.057
37,1,,,1953,-0.953
38,1,,,1906,-0.906
39,1,,,2643,-1.643
40,1,,,1643,-0.643
41,1,,,1555,-0.555
42,1,,,1937,-0.937
43,1,,,1901,-0.901
44,1,,,1831,-0.831
45,1,,,1833,-0.833
46,1,,,1897,-0.897
47,1,,,1625,-0.625
48,1,,,2290,-1.29
49,1,,,1962,-0.962
50,1,,,1738,-0.738
51,1,,,1696,-0.696
52,1,,,1377,-0.377
53,1,,,2097,-1.097
54,1,,,2574,-1.574
55,1,,,1783,-0.783
56,1,,,1828,-0.828
57,1,,,1596,-0.596
58,1,,,1921,-0.921
59,1,,,1527,-0.527
60,1,,,1809,-0.809
61,1,,,1529,-0.529
62,1,,,2255,-1.255
63,1,,,1553,-0.553
64,1,,,1655,-0.655
65,1,,,2063,-1.063
66,1,,,1859,-0.859
67,1,,,1921,-0.921
68,1,,,2139,-1.139
69,1,,,1961,-0.961
70,1,,,1590,-0.59
71,1,,,1813,-0.813
72,1,,,2044,-1.044
73,1,,,2346,-1.346
74,1,,,1872,-0.872
75,1,,,2187,-1.187
76,1,,,1849,-0.849
77,1,,,2313,-1.313
78,1,,,1959,-0.959
79,1,,,1675,-0.675
80,1,,,1517,-0.517
81,1,,,1814,-0.814
82,1,,,2173,-1.173
83,1,,,2053,-1.053
84,1,,,1970,-0.97
85,1,,,2251,-1.251
86,1,,,1978,-0.978
87,1,,,1989,-0.989
88,1,,,2120,-1.12
89,1,,,2070,-1.07
90,1,,,1731,-0.731
91,1,,,1185,-0.185
92,1,,,1014,-0.014
93,1,,,1169,-0.169
94,1,,,983,0.017
95,1,,,1095,-0.095
96,1,,,1397,-0.397
97,1,,,2459,-1.459
98,1,,,1910,-0.91
99,1,,,2016,-1.016
100,1,,,1581,-0.581
,,,,1872.15,